,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Hour,Duration
2605,A-1089867,MapQuest,241.0,2,2019-10-29 20:18:43,2019-10-29 20:48:33,37.743961,-122.405602,,,0.0,Lane blocked due to accident on I-280 Northbound at US-101 Exits 430A 430B 431.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2019-10-29 19:56:00,59.0,59.0,36.0,29.92,10.0,W,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,20,29
2614,A-1097791,MapQuest-Bing,201.0,2,2019-11-01 07:00:21,2019-11-01 08:00:02,37.743961,-122.405602,,,0.0,#1 lane blocked due to accident on US-101 Northbound at Exits 430A 430B 431 I-280.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2019-11-01 06:56:00,49.0,49.0,56.0,30.14,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,7,59
2625,A-1107067,MapQuest,201.0,3,2019-11-06 18:25:39,2019-11-06 19:41:28,37.720741,-122.448296,,,0.0,Slow lane blocked due to accident on I-280 Southbound after Ocean Ave.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2019-11-06 17:56:00,55.0,55.0,77.0,29.99,10.0,WNW,17.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,18,75
2629,A-1112618,MapQuest-Bing,201.0,2,2019-11-08 06:09:11,2019-11-08 07:08:48,37.761818,-122.405869,,,0.0,#1 and #2 lane blocked due to accident on US-101 Northbound at Mariposa St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-11-08 05:53:00,52.0,52.0,89.0,30.18,1.0,CALM,0.0,0.0,Fog,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Day,Day,6,59
2630,A-1112644,MapQuest-Bing,201.0,2,2019-11-08 08:45:00,2019-11-08 09:44:44,37.732166,-122.430733,,,0.0,Right hand shoulder blocked and #1 lane blocked due to accident on I-280 Northbound at Monterey Blvd.,,I-280 N,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2019-11-08 08:56:00,53.0,53.0,89.0,30.2,1.0,SSE,5.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8,59
2631,A-1112645,MapQuest,201.0,2,2019-11-08 08:44:39,2019-11-08 09:14:20,37.732288,-122.414909,,,0.0,Right hand shoulder blocked due to accident on I-280 Southbound at US-101 Exits 430A 430B 431.,,I-280 S,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2019-11-08 08:56:00,53.0,53.0,89.0,30.2,1.0,SSE,5.0,0.0,Fog,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8,29
2640,A-1119862,MapQuest,241.0,2,2019-11-12 15:49:19,2019-11-12 16:19:02,37.761818,-122.405869,,,0.0,Lane blocked due to accident on US-101 Northbound at Mariposa St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-11-12 15:53:00,72.0,72.0,43.0,29.99,10.0,NW,8.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,29
2642,A-1119884,MapQuest-Bing,241.0,2,2019-11-12 16:53:16,2019-11-12 17:52:52,37.761818,-122.405869,,,0.0,Lane blocked due to accident on US-101 Northbound at Vermont St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-11-12 16:53:00,63.0,63.0,67.0,29.99,10.0,NW,5.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16,59
2643,A-1122724,MapQuest-Bing,201.0,2,2019-11-13 06:47:07,2019-11-13 08:01:47,37.71019,-122.395515,,,0.0,Right hand shoulder blocked due to accident on US-101 Southbound at Exit 429A Alanna Rd.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2019-11-13 06:56:00,50.0,50.0,89.0,29.99,9.0,W,9.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,6,74
2653,A-1128748,MapQuest,241.0,3,2019-11-15 12:50:06,2019-11-15 14:18:09,37.732288,-122.414909,,,0.0,#1 and #2 lane blocked due to accident on I-280 Southbound at US-101 Exits 430A 430B 431.,,I-280 S,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2019-11-15 12:56:00,64.0,64.0,65.0,30.15,10.0,E,5.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,88
2656,A-1129678,MapQuest,201.0,2,2019-11-16 17:05:37,2019-11-16 17:56:25,37.743961,-122.405602,,,0.0,#1 lane blocked due to accident on US-101 Northbound at Exits 430A 430B 431 I-280.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2019-11-16 16:56:00,56.0,56.0,80.0,30.06,9.0,WNW,15.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,17,50
2660,A-1132707,MapQuest,201.0,2,2019-11-17 23:04:16,2019-11-18 01:34:25,37.762676,-122.405228,,,0.0,Right lane blocked due to accident on US-101 Southbound near Mariposa St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-11-17 22:53:00,52.0,52.0,74.0,30.01,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,23,150
2670,A-1135345,MapQuest,241.0,3,2019-11-19 11:12:13,2019-11-19 12:04:14,37.731361,-122.423836,,,0.0,Slow lane blocked due to accident on I-280 Northbound at US-101 Exits 430A 430B 431.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2019-11-19 10:56:00,61.0,61.0,67.0,29.79,9.0,W,26.0,0.0,Fair / Windy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,11,52
2681,A-1140975,MapQuest,201.0,3,2019-11-21 14:30:36,2019-11-21 15:30:20,37.732288,-122.414909,,,0.0,#1 #3 lane blocked due to accident on I-280 Southbound before Alemany Blvd.,,I-280 S,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2019-11-21 14:56:00,61.0,61.0,64.0,29.88,10.0,NE,6.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14,59
2683,A-1143921,MapQuest,201.0,2,2019-11-22 07:23:45,2019-11-22 08:24:07,37.732288,-122.414909,,,0.0,Right hand shoulder blocked due to accident on I-280 Southbound at US-101 Exits 430A 430B 431.,,I-280 S,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2019-11-22 06:56:00,53.0,53.0,80.0,30.14,10.0,CALM,0.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7,60
2685,A-1143980,MapQuest,201.0,2,2019-11-22 14:08:14,2019-11-22 14:37:58,37.761818,-122.405869,,,0.0,Slow lane blocked due to accident on US-101 Northbound before Vermont St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-11-22 13:53:00,64.0,64.0,58.0,30.14,10.0,WNW,9.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14,29
2686,A-1143986,MapQuest,201.0,2,2019-11-22 15:29:14,2019-11-22 16:30:21,37.761818,-122.405869,,,0.0,Accident on US-101 Northbound at Mariposa St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-11-22 15:53:00,64.0,64.0,54.0,30.14,10.0,WNW,8.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,61
2695,A-1148124,MapQuest,201.0,2,2019-11-24 23:04:00,2019-11-24 23:48:38,37.762676,-122.405228,,,0.0,Right hand shoulder blocked due to accident on US-101 Northbound at Vermont St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-11-24 22:53:00,52.0,52.0,86.0,30.1,10.0,WNW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,23,44
2696,A-1148125,MapQuest,201.0,3,2019-11-24 23:02:25,2019-11-25 00:02:06,37.762787,-122.392723,,,0.0,#3 lane blocked due to accident on I-280 Southbound at Mariposa St.,,I-280 S,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-11-24 22:53:00,52.0,52.0,86.0,30.1,10.0,WNW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,23,59
2701,A-1150784,MapQuest,201.0,3,2019-11-26 20:13:17,2019-11-26 21:12:59,37.762787,-122.392723,,,0.0,#3 lane blocked due to accident on I-280 Southbound before Mariposa St.,,I-280 S,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-11-26 19:53:00,50.0,50.0,86.0,29.59,8.0,WNW,5.0,0.49,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,20,59
2703,A-1153309,MapQuest,201.0,3,2019-11-27 05:40:33,2019-11-27 07:10:16,37.729946000000005,-122.439507,,,0.0,Slow lane blocked due to accident on I-280 Northbound at Geneva Ave.,,I-280 N,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2019-11-27 05:56:00,47.0,44.0,74.0,29.52,10.0,VAR,6.0,0.02,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,5,89
2704,A-1153314,MapQuest,201.0,3,2019-11-27 05:58:59,2019-11-27 06:43:41,37.729946000000005,-122.439507,,,0.0,#1 lane blocked due to accident on I-280 Northbound at Geneva Ave.,,I-280 N,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2019-11-27 05:56:00,47.0,44.0,74.0,29.52,10.0,VAR,6.0,0.02,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,5,44
2705,A-1153326,MapQuest,201.0,3,2019-11-27 06:35:38,2019-11-27 07:05:19,37.731361,-122.423836,,,0.0,#1 lane blocked due to accident on I-280 Northbound at US-101 Exits 430A 430B 431.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2019-11-27 06:56:00,46.0,42.0,76.0,29.54,10.0,SSW,7.0,0.04,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day,6,29
2720,A-1164113,MapQuest-Bing,201.0,2,2019-10-02 06:55:54,2019-10-02 08:25:15,37.743961,-122.405602,,,0.0,Right hand shoulder blocked due to accident on US-101 Northbound at Exits 430A 430B 431 I-280.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2019-10-02 06:56:00,52.0,52.0,63.0,30.01,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,6,89
2724,A-1164202,MapQuest,201.0,3,2019-10-02 18:53:52,2019-10-02 19:39:06,37.720982,-122.448265,,,0.0,#4 lane blocked due to accident on I-280 Northbound before Geneva Ave.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2019-10-02 18:56:00,62.0,62.0,52.0,29.96,10.0,W,20.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,18,45
2735,A-1169285,MapQuest,241.0,2,2019-10-04 13:16:42,2019-10-04 13:46:13,37.716026,-122.398773,,,0.0,#2 lane blocked due to accident on US-101 Southbound at Tunnel Ave.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2019-10-04 12:56:00,70.0,70.0,36.0,30.13,10.0,NNE,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,29
2736,A-1172888,MapQuest-Bing,201.0,3,2019-09-18 07:39:34,2019-09-18 09:10:41,37.729946000000005,-122.439507,,,0.0,#3 lane blocked due to accident on I-280 Northbound at Geneva Ave.,,I-280 N,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2019-09-18 07:56:00,68.0,68.0,73.0,29.94,10.0,SSW,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7,91
2738,A-1172957,MapQuest,201.0,2,2019-09-19 15:05:05,2019-09-19 16:05:57,37.7579,-122.404366,,,0.0,#1 lane blocked due to accident on US-101 Northbound after Exit 432 Bayshore Blvd.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2019-09-19 14:56:00,73.0,73.0,48.0,29.92,10.0,WNW,14.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,60
2749,A-1176979,MapQuest-Bing,241.0,2,2019-09-22 08:45:38,2019-09-22 10:00:43,37.769611,-122.416878,,,0.0,Slow lane blocked due to accident on US-101 Central Fwy Southbound at Exit 434A Van Ness Ave.,,US-101 S,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2019-09-22 08:56:00,61.0,61.0,81.0,29.93,10.0,WNW,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8,75
2760,A-1181803,MapQuest-Bing,246.0,3,2019-09-24 16:57:04,2019-09-24 17:56:53,37.726269,-122.446053,,,0.0,Three lanes blocked due to accident on I-280 Southbound at Geneva Ave.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2019-09-24 16:56:00,89.0,89.0,17.0,29.86,10.0,W,20.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16,59
2764,A-1184271,MapQuest-Bing,201.0,3,2019-09-25 09:37:30,2019-09-25 10:37:20,37.724003,-122.401497,,,0.0,Accident on I-280 Southbound at US-101 Exits 430A 430B 431.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2019-09-25 09:56:00,78.0,78.0,52.0,29.8,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,True,False,False,False,False,Day,Day,Day,Day,9,59
2770,A-1186293,MapQuest-Bing,201.0,3,2019-09-26 08:46:58,2019-09-26 09:46:41,37.732166,-122.430733,,,0.0,Accident on I-280 Eastbound at Monterey Blvd.,,I-280 N,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2019-09-26 08:56:00,70.0,70.0,63.0,29.88,10.0,SSE,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8,59
2777,A-1190053,MapQuest-Bing,201.0,2,2019-09-29 11:13:12,2019-09-29 12:13:00,37.761818,-122.405869,,,0.0,Accident on US-101 Northbound at Mariposa St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-09-29 10:53:00,63.0,63.0,48.0,29.96,10.0,SW,6.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,11,59
2783,A-1192729,MapQuest,201.0,2,2019-09-02 09:45:47,2019-09-02 10:45:15,37.769596,-122.416756,,,0.0,Slow lane blocked due to accident on US-101 Central Fwy Southbound at Exit 434A Van Ness Ave.,193.0,13th St,R,San Francisco,San Francisco,CA,94103-3719,US,US/Pacific,KSFO,2019-09-02 09:56:00,66.0,66.0,73.0,29.96,10.0,WNW,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9,59
2785,A-1195146,MapQuest-Bing,201.0,3,2019-09-03 08:45:31,2019-09-03 09:30:13,37.732166,-122.430733,,,0.0,#1 lane blocked due to accident on I-280 Northbound near Monterey Blvd.,,I-280 N,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2019-09-03 08:56:00,62.0,62.0,78.0,30.01,10.0,W,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8,44
2788,A-1199690,MapQuest-Bing,201.0,3,2019-09-05 09:19:19,2019-09-05 10:03:56,37.732288,-122.414909,,,0.0,#2 lane blocked due to accident on I-280 Northbound before US-101 Exits 430A 430B 431.,,I-280 S,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2019-09-05 08:56:00,61.0,61.0,83.0,29.99,8.0,W,18.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9,44
2791,A-1202134,MapQuest-Bing,201.0,2,2019-09-06 17:16:54,2019-09-06 17:46:27,37.724003,-122.401497,,,0.0,Accident on US-101 Southbound at Exits 430A 430B 431 I-280.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2019-09-06 16:56:00,67.0,67.0,68.0,30.06,10.0,W,20.0,0.0,Fair,False,False,False,False,True,False,False,False,True,False,False,False,False,Day,Day,Day,Day,17,29
2797,A-1202981,MapQuest-Bing,201.0,2,2019-09-07 16:36:18,2019-09-07 18:55:51,37.727318,-122.402756,,,0.0,#1 lane blocked due to accident on US-101 Southbound at Exits 430A 430B 431 I-280.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2019-09-07 16:56:00,70.0,70.0,63.0,30.0,10.0,W,18.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16,139
2798,A-1202984,MapQuest,241.0,3,2019-09-07 20:44:07,2019-09-07 21:51:32,37.761818,-122.405869,,,0.0,#1 lane blocked due to accident on US-101 Northbound at Mariposa St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-09-07 20:53:00,64.0,64.0,78.0,29.98,10.0,W,18.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day,20,67
2806,A-1206051,MapQuest,241.0,2,2019-09-09 14:43:15,2019-09-09 15:12:57,37.744972,-122.405029,,,0.0,Lane blocked due to accident on US-101 Northbound at Exit 432 Bayshore Blvd.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2019-09-09 14:56:00,73.0,73.0,64.0,29.93,10.0,W,23.0,0.0,Partly Cloudy / Windy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14,29
2811,A-1211006,MapQuest,201.0,2,2019-09-11 09:14:25,2019-09-11 09:44:05,37.724003,-122.401497,,,0.0,Right hand shoulder blocked due to accident on US-101 Southbound at Paul Ave.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2019-09-11 08:56:00,64.0,64.0,72.0,30.04,10.0,CALM,0.0,0.0,Fair,False,False,False,False,True,False,False,False,True,False,False,False,False,Day,Day,Day,Day,9,29
2813,A-1211039,MapQuest,201.0,2,2019-09-11 17:39:44,2019-09-11 19:42:11,37.792999,-122.469635,,,0.0,#2 lane blocked due to accident on CA-1 Veterans Blvd Southbound at Macarthur Tunnel.,,State Highway 1,R,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2019-09-11 17:56:00,73.0,73.0,48.0,29.99,10.0,W,23.0,0.0,Fair / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,17,122
2815,A-1213484,MapQuest-Bing,201.0,2,2019-09-12 05:29:04,2019-09-12 06:13:41,37.769211,-122.410126,,,0.0,Right lane blocked due to accident on US-101 Central Fwy Southbound before I-80.,,Central Fwy,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2019-09-12 05:56:00,62.0,62.0,62.0,30.0,10.0,W,3.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day,5,44
2820,A-1215927,MapQuest,201.0,2,2019-09-13 08:42:25,2019-09-13 09:26:42,37.731361,-122.423836,,,0.0,Accident on I-280 Northbound before US-101 Exits 430A 430B 431. On the median.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2019-09-13 08:56:00,72.0,72.0,68.0,29.99,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8,44
2821,A-1215943,MapQuest-Bing,201.0,2,2019-09-13 13:20:39,2019-09-13 14:05:17,37.760635,-122.406281,,,1.25,#1 lane blocked due to accident on US-101 Northbound between Cesar Chavez St and Vermont St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-09-13 12:53:00,88.0,88.0,27.0,29.98,10.0,W,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,44
2826,A-1219713,MapQuest,201.0,2,2019-09-16 13:46:18,2019-09-16 14:51:00,37.73024,-122.403893,,,0.0,#5 lane blocked and right hand shoulder blocked due to accident on US-101 Northbound before Silver AVe.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2019-09-16 13:56:00,70.0,70.0,57.0,29.99,10.0,W,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,64
2834,A-1222938,MapQuest,245.0,2,2019-08-17 10:40:55,2019-08-17 11:40:44,37.761818,-122.405869,,,0.0,Two lanes blocked due to accident on US-101 Northbound at Mariposa St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-08-17 10:53:00,70.0,70.0,61.0,29.86,10.0,SSW,7.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10,59
2836,A-1222948,MapQuest,241.0,2,2019-08-17 12:10:11,2019-08-17 13:40:58,37.762676,-122.405228,,,0.0,#1 lane blocked due to accident on US-101 Northbound at Mariposa St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-08-17 11:53:00,72.0,72.0,57.0,29.85,10.0,SSW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,90
2840,A-1225729,MapQuest,201.0,2,2019-08-19 09:45:30,2019-08-19 10:15:13,37.740299,-122.407845,,,0.0,Accident on US-101 Northbound at I-280.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2019-08-19 09:56:00,64.0,64.0,72.0,29.98,10.0,WSW,9.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9,29
2844,A-1225767,MapQuest,201.0,2,2019-08-19 17:36:05,2019-08-19 18:36:30,37.762676,-122.405228,,,0.0,#4 lane blocked due to accident on US-101 Northbound after Vermont St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-08-19 17:53:00,69.0,69.0,63.0,29.97,10.0,W,16.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,17,60
2862,A-1235189,MapQuest,201.0,2,2019-08-23 12:04:37,2019-08-23 13:22:22,37.732288,-122.414909,,,0.0,Accident on I-280 Southbound at US-101 Exits 430A 430B 431.,,I-280 S,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2019-08-23 11:56:00,74.0,74.0,62.0,29.81,9.0,NE,5.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,77
2864,A-1238281,MapQuest,201.0,2,2019-08-26 17:34:46,2019-08-26 19:11:40,37.762676,-122.405228,,,0.0,#1 lane blocked due to accident on US-101 Northbound before Vermont St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-08-26 17:53:00,71.0,71.0,61.0,29.84,10.0,WNW,14.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,17,96
2881,A-1252314,MapQuest,201.0,3,2019-07-02 07:30:13,2019-07-02 09:21:09,37.76778,-122.395988,,,0.0,#2 lane blocked due to accident on I-280 Northbound at 6th St.,,I-280 N,R,San Francisco,San Francisco,CA,94158,US,US/Pacific,KOAK,2019-07-02 07:53:00,62.0,62.0,72.0,30.0,7.0,SE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7,110
2882,A-1252358,MapQuest,201.0,2,2019-07-02 15:09:47,2019-07-02 15:46:00,37.76218,-122.40564,,,0.0,Right hand shoulder blocked due to accident on US-101 Northbound at Vermont St.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2019-07-02 14:56:00,67.0,67.0,59.0,29.98,10.0,W,17.0,0.0,Mostly Cloudy,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,36
2894,A-1265023,MapQuest,201.0,3,2019-07-10 18:40:26,2019-07-10 19:10:11,37.8078,-122.367531,,,0.0,#2 lane blocked due to accident on I-80 Bay Brg Westbound after Exit 4A Treasure Island Rd.,,I-80 E,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2019-07-10 18:53:00,68.0,68.0,68.0,30.06,10.0,W,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,18,29
2895,A-1265027,MapQuest,201.0,3,2019-07-10 19:29:19,2019-07-10 19:58:39,37.763935,-122.393021,,,0.0,#2 #3 lane blocked due to accident on I-280 Northbound before Mariposa St.,,I-280 S,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-07-10 19:53:00,66.0,66.0,70.0,30.06,10.0,W,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,19,29
2900,A-1269235,MapQuest,201.0,2,2019-07-12 14:58:33,2019-07-12 15:43:36,37.745094,-122.404984,,,0.0,Slow lane blocked due to accident on US-101 Northbound before Cesar Chavez St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2019-07-12 14:56:00,66.0,66.0,63.0,29.91,10.0,WNW,24.0,0.0,Fair / Windy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14,45
2916,A-1279721,MapQuest,201.0,2,2019-07-18 18:21:39,2019-07-18 19:22:13,37.761818,-122.405869,,,0.0,#1 lane blocked due to accident on US-101 Northbound before Vermont St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-07-18 17:53:00,69.0,69.0,68.0,29.9,10.0,W,13.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,18,60
